Source	Target	Type	Weight	similarity_total	weight_base	multimodal_multiplier	weight_multimodal_bonus	similarity_text	similarity_hashtag	similarity_domain	active_text	active_hashtag	active_domain	n_modalities_above_threshold	share_text	share_hashtag	share_domain	max_share	non_domain_similarity
cassioandrade40	cassioandrade4011	Undirected	2.6047612734173446	0.8682537578057815	0.8682537578057815	3	2.6047612734173446	0.8109857457253051	0.9882113116479179	0.8055642160441214	1	1	1	3	0.31134743671204984	0.37938651873130136	0.3092660445566487	0.37938651873130136	0.8995985286866115
ErikaKokay	PauloTeixeira13	Undirected	2.402383932776604	0.8007946442588679	0.8007946442588679	3	2.402383932776604	0.7552558332047552	0.8177038587925471	0.8294242407793015	1	1	1	3	0.31437765750116925	0.34037184799494946	0.3452504945038813	0.3452504945038813	0.7864798459986512
DeputadaMariaDoRosario	deputadomarcon	Undirected	2.3007651284400428	0.7669217094800143	0.7669217094800143	3	2.3007651284400428	0.6026307902038632	0.8586270240286071	0.8395073142075723	1	1	1	3	0.2619262534687567	0.3731919496757892	0.364881796855454	0.3731919496757892	0.7306289071162352
gleisi.hoffmann	guimaraes13pt	Undirected	2.288994159675295	0.7629980532250983	0.7629980532250983	3	2.288994159675295	0.7798489449776489	0.6634553057953855	0.8456899089022608	1	1	1	3	0.34069503483935243	0.2898457835687531	0.3694591815918945	0.3694591815918945	0.7216521253865171
ErikaKokay	guimaraes13pt	Undirected	2.268015886833664	0.7560052956112213	0.7560052956112213	3	2.268015886833664	0.724468419915923	0.7085350137946076	0.8350124531231332	1	1	1	3	0.3194282827213086	0.3124030205907334	0.368168696687958	0.368168696687958	0.7165017168552653
guimaraes13pt	PauloTeixeira13	Undirected	2.215516651583897	0.7385055505279657	0.7385055505279657	3	2.215516651583897	0.7054310664161149	0.6770297816770138	0.8330558034907687	1	1	1	3	0.31840476843710225	0.30558550809943036	0.3760097234634675	0.3760097234634675	0.6912304240465643
gleisi.hoffmann	PauloTeixeira13	Undirected	2.211067888942787	0.7370226296475956	0.7370226296475956	3	2.211067888942787	0.7687035654081901	0.7503530835855169	0.6920112399490798	1	1	1	3	0.3476616748189232	0.33936229970048326	0.3129760254805935	0.3476616748189232	0.7595283244968535
glauber.braga1	IvanValentePSOL	Undirected	2.189731673895287	0.7299105579650956	0.7299105579650956	3	2.189731673895287	0.6251261638524395	0.8774664151515921	0.6871390948912551	1	1	1	3	0.2854807149683368	0.4007186933505318	0.31380059168113134	0.4007186933505318	0.7512962895020158
carlosveraspt	ErikaKokay	Undirected	2.1594040775163537	0.7198013591721178	0.7198013591721178	3	2.1594040775163537	0.6394451723384089	0.8802641969325089	0.6396947082454361	1	1	1	3	0.2961211285077636	0.4076421852203539	0.2962366862718826	0.4076421852203539	0.7598546846354589
deputadorogeriocorreia	ErikaKokay	Undirected	2.15330054912537	0.7177668497084566	0.7177668497084566	3	2.15330054912537	0.6656189325183146	0.631653863410424	0.8560277531966316	1	1	1	3	0.30911566561791687	0.2933421735609504	0.3975421608211329	0.3975421608211329	0.6486363979643692
IvanValentePSOL	luizaerundina	Undirected	2.1438312212493766	0.7146104070831255	0.7146104070831255	3	2.1438312212493766	0.637184705934649	0.8197069891496053	0.6869395261651224	1	1	1	3	0.29721775651877674	0.3823561206800125	0.3204261228012108	0.3823561206800125	0.7284458475421272
carlosveraspt	guimaraes13pt	Undirected	2.141962572740374	0.7139875242467913	0.7139875242467913	3	2.141962572740374	0.6781442944596968	0.6769342999294209	0.7868839783512566	1	1	1	3	0.31659950696155054	0.3160346070208724	0.36736588601757714	0.36736588601757714	0.6775392971945589
DeputadaMariaDoRosario	ErikaKokay	Undirected	2.134216227513564	0.711405409171188	0.711405409171188	3	2.134216227513564	0.7325704925244095	0.9003577421914866	0.5012879927976679	1	1	1	3	0.34325036192695413	0.42186809873544756	0.23488153933759834	0.42186809873544756	0.8164641173579481
ErikaKokay	gleisi.hoffmann	Undirected	2.1313510006824092	0.7104503335608031	0.7104503335608031	3	2.1313510006824092	0.7669449948986345	0.6892292834332141	0.6751767223505608	1	1	1	3	0.35983983616639237	0.3233767142120368	0.31678344962157096	0.35983983616639237	0.7280871391659243
DeputadaMariaDoRosario	fernandapsol	Undirected	2.1219538955795088	0.7073179651931696	0.7073179651931696	3	2.1219538955795088	0.5668113434350706	0.8900196945968527	0.6651228575475854	1	1	1	3	0.26711765256345193	0.4194340397550377	0.3134483076815104	0.4194340397550377	0.7284155190159616
ErikaKokay	IvanValentePSOL	Undirected	2.120011490331101	0.7066704967770336	0.7066704967770336	3	2.120011490331101	0.6636791843512687	0.8217648331071823	0.63456747287265	1	1	1	3	0.3130545222882807	0.3876228203738839	0.2993226573378355	0.3876228203738839	0.7427220087292254
DeputadaMariaDoRosario	glauber.braga1	Undirected	2.1109751776086862	0.7036583925362287	0.7036583925362287	3	2.1109751776086862	0.5313471491842208	0.9280039722257042	0.6516240561987611	1	1	1	3	0.25170696217571403	0.43960913518507005	0.30868390263921586	0.43960913518507005	0.7296755607049625
deputadaaliceportugal	ErikaKokay	Undirected	2.100664080115411	0.7002213600384702	0.7002213600384702	3	2.100664080115411	0.5068185638546429	0.9169862154313833	0.676859300829385	1	1	1	3	0.2412658780868944	0.4365220618143782	0.32221206009872755	0.4365220618143782	0.711902389643013
DeputadoBetoFaro	rfalcao13	Undirected	2.0931734544269167	0.6977244848089722	0.6977244848089722	3	2.0931734544269167	0.7833952266815616	0.38813929023329286	0.9216389375120624	1	1	1	3	0.3742619729027879	0.18543102073667386	0.4403070063605383	0.4403070063605383	0.5857672584574272
DeputadaMariaDoRosario	guimaraes13pt	Undirected	2.0882267703757478	0.6960755901252492	0.6960755901252492	3	2.0882267703757478	0.6901494519140517	0.7635343542169389	0.6345429642447571	1	1	1	3	0.3304954527471501	0.36563766208185877	0.30386688517099114	0.36563766208185877	0.7268419030654953
ErikaKokay	glauber.braga1	Undirected	2.0755069140299263	0.6918356380099754	0.6918356380099754	3	2.0755069140299263	0.5456673843416336	0.9281381576191352	0.6017013720691575	1	1	1	3	0.2629080060649539	0.4471862518718416	0.2899057420632046	0.4471862518718416	0.7369027709803844
