Id	Label	author	party	state	PEC135	ideology_2021	mean_page_followers	louvain_community	degree	strength	total_posts	total_image_posts	total_video_posts	total_text_posts	total_engagement	mean_engagement	Q1	Q2	Q3	is_wolf
23rubensbueno	Rubens Bueno	23rubensbueno	CIDADANIA	PR	0	-0.014	61535.700364298726	1	0	0	1099	650	253	196	240810	219.11737943585078	6	1	0	0
DelegadoPablo	Delegado Pablo	DelegadoPablo	PSL	CE	1	0.803	33402.98644902987	2	258	111.24907323788364	3247	1759	1478	10	1396301	430.0280258700339	11	10	0	1
rosemodestoms	Rose Modesto	rosemodestoms	REPUBLICANOS	MS	1	0.55	60074.6026387272	2	273	111.20044507114385	2577	2026	547	4	1778162	690.0124175397749	5	1	0	0
DeputadoAndreFigueiredo	André Figueiredo	DeputadoAndreFigueiredo	PDT	CE	0	-0.356	84128.8865157794	2	253	102.73054235180295	3137	2351	696	90	800218	255.09021357985335	5	3	0	0
Drdenisbezerra	Denis Bezerra	Drdenisbezerra	PSB	CE	0	-0.427	18838.11547911548	2	248	87.89671953332027	1628	1305	315	8	169609	104.18243243243244	7	4	0	0
marceloramosam	Marcelo Ramos	marceloramosam	PSD	AM	0	0.296	81512.35549431623	2	228	84.69373529994525	2903	1450	1407	46	854627	294.39441956596625	8	4	0	0
tabataamaralSP	Tabata Amaral	tabataamaralSP	PSB	SP	0	-0.427	518752.12131979695	2	195	82.46874218212906	3941	2037	1111	793	10142037	2573.4679015478305	19	12	1	0
DeputadoNicoletti	Deputado Federal Nicoletti	DeputadoNicoletti	PSL	RR	1	0.803	26812.25	2	232	81.89348421679318	3608	2383	1217	8	679129	188.22865853658536	10	7	0	0
celsosabinooficial	Celso Sabino	celsosabinooficial	PSL	PA	0	0.803	67692.39934667211	2	220	78.5317319406695	2449	2092	351	6	277676	113.3834218048183	5	1	0	0
viniciuscarvalhooficial	Vinicius Carvalho	viniciuscarvalhooficial	REPUBLICANOS	SP	0	0.55	147431.64873127485	2	201	71.5876704824894	3271	2389	877	5	545059	166.63375114643839	6	2	0	0
FelipeCarrerasOficial	Felipe Carreras	FelipeCarrerasOficial	PSB	PE	0	-0.427	121832.25101449275	2	229	66.05386888639804	1725	1545	178	2	119227	69.11710144927537	4	1	0	0
capitaowagnersousa	Capitão Wagner	capitaowagnersousa	PROS	CE	1	0.19	335529.2484864438	2	223	65.39226684139142	3800	1984	1794	22	7402051	1947.9081578947369	14	5	0	0
LucasRedecker	Lucas Redecker	LucasRedecker	PSDB	RS	1	0.157	56125.20541494997	2	216	63.022447144481355	1702	1240	395	67	1000421	587.7914218566392	4	1	0	0
bira.dopindare	Bira do Pindaré	bira.dopindare	PSB	MA	0	-0.427	59673.998837547224	2	209	62.601421255467926	3442	2338	1074	30	490459	142.49244625217898	9	7	0	0
margaretecoelho.castro	Margarete Coelho	margaretecoelho.castro	PP	PI	0	0.51	22154.745568685375	2	202	62.11317326194929	2708	2020	682	6	126419	46.683530280649926	32	1	0	0
danilocabralpe	Danilo Cabral	danilocabralpe	PSB	PE	0	-0.427	64581.578851412945	2	170	61.527979326186035	3291	2137	886	268	779305	236.7988453357642	8	4	0	0
iracemaportella	Iracema Portella	iracemaportella	PP	PI	1	0.51	76384.09485787289	2	186	60.57540901049059	3131	2825	287	19	1124765	359.2350686681571	1	0	0	0
oficialigortimo	Igor Timo	oficialigortimo	PODEMOS	MG	0		62395.34956759217	2	180	56.61140935399283	2197	1267	786	144	867103	394.6759217114247	7	2	0	0
