name,facebook_handle,twitter_handle,party,state
Abílio Santana,pastorabiliosantana,AbilioSantanna,PSC,BA
Abou Anni,DeputadoFederalAbouAnni,,PSL,SP
Acácio Favacho,deputadofederalacaciofavacho,AcacioFavacho,MDB,AM
Adriana Ventura,adriventurasp,adriventurasp,NOVO,SP
Aécio Neves,AecioNevesOficial,AecioNeves,PSDB,MG
Afonso Florence,afonsoflorence13,AfonsoFlorence,PT,BA
Afonso Hamm,depafonsohamm,DepAfonsoHamm,PP,RS
Afonso Motta,AfonsoMottaOpina,afonso_motta,PDT,RS
Aguinaldo Ribeiro,depaguinaldoribeiro,depaguinaldo11,PP,PB
Airton Faleiro,airtonfaleiropt,FaleiroAirton,PT,PA
AJ Albuquerque,albuquerque.aj,,PP,CE
Alan Rick,alanrickoficial,Alan_Rick,DEM,AC
Alceu Moreira,depalceumoreira,Alceu_Moreira,MDB,RS
Alcides Rodrigues,alcidesrodriguesoficial,,PATRIOTA,GO
Alê Silva,AleSilvaOficial,alesilva_38,REPUBLICANOS,MG
Alencar Santana,AlencarBraga13,AlencarBraga13,PT,SP
Alessandro Molon,MolonRJ,alessandromolon,PSB,RJ
Alex Manente,alexmanente,AlexManente23,CIDADANIA,SP
Alexandre Frota,alexandrefrotaoficial77,77_frota,PROS,SP
Alexandre Leite,AlexandreLeite.SP,lexandreleite,DEM,SP
Alexandre Padilha,padilhando,padilhando,PT,SP
Alexandre Serfiotis,alexandreserfiotis,AleSerfiotis,PSD,RJ
Alexis Fonteyne,alexisfonteyne30,AlexisFonteyne,NOVO,SP
Alice Portugal,deputadaaliceportugal,Alice_Portugal,PCdoB,BA
Aliel Machado,alielmachado,alielmachado,PV,PR
Aline Gurgel,dep.alinegurgel,alinegurgel_ap,REPUBLICANOS,AM
Aline Sleutjes,alinesleutjes,AlineSleutjes,PROS,PR
Altineu Côrtes,altineucortesrj,Altineu,PL,RJ
Aluisio Mendes,aluisiomendesma,aluisiomendesma,REPUBLICANOS,MA
Amaro Neto,amaronetotv,,REPUBLICANOS,ES
André Abdon,depandreabdon,DepAndreAbdon,PP,AM
André de Paula,andredepaulaoficial,Andredepaula55,PSD,PE
André Ferreira,andreferreira.pe,aferreira2222,PL,PE
André Figueiredo,DeputadoAndreFigueiredo,andrepdt12,PDT,CE
André Fufuca,andrefufuca,DepAndreFufuca,PP,MA
André Janones,AndreJanones,AndreJanonesAdv,AVANTE,MG
Angela Amin,AngelaAmin11,DeputadaAngela,PP,SC
Antonio Brito,antoniobritobahia,,PSD,BA
Arlindo Chinaglia,depchinaglia,depchinaglia,PT,SP
Aroldo Martins,aroldomartinsoficial,aroldomartins,REPUBLICANOS,PR
Arthur Oliveira Maia,arthur.oliveiramaia,DepArthurMaia,DEM,BA
Assis Carvalho,assiscarvalho.pt,assis_carvalho,PT,PI
Átila Lira,deputadoatilalira,deputadoatila,PP,PI
Augusto Coutinho,augusto.coutinho,dep_acoutinho,REPUBLICANOS,PE
Áurea Carolina,aureacarolina,aureacarolinax,PSOL,MG
Aureo Ribeiro,AureoRibeiroRJ,AureoRibeiroRJ,SOLIDARIEDADE,RJ
Bacelar,deputadobacelar,DeputadoBacelar,PV,BA
Baleia Rossi,baleia.rossi,Baleia_Rossi,MDB,SP
Benedita da Silva,blogdabenedita,dasilvabenedita,PT,RJ
Benes Leocádio,BenesLeocadioRN,benesleocadiorn,REPUBLICANOS,RN
Beto Faro,DeputadoBetoFaro,BetoFaroPT,PT,PA
Beto Pereira,BetoPereiraMS,betopereirams,PSDB,MS
Beto Rosado,betorosado1111,BetoRosado,PP,RN
Bia Kicis,biakicisoficial,Biakicis,PL,DF
Bibo Nunes,bibonunes,bibonunes1,PL,RS
Bira do Pindaré,bira.dopindare,BiradoPindare,PSB,MA
Boca Aberta,marabocaabertaparana,bocaabertajr,PROS,PR
Bosco Costa,boscocostase,BoscoCosta_SE,PL,SE
Bosco Saraiva,BoscoSaraivaAM,boscosaraiva,SOLIDARIEDADE,AM
Bruna Furlan Deputada Estadual,BrunaFurlanDeputadaEstadual,DepBrunaFurlan,PSDB,SP
