name,facebook_handle,twitter_handle,party,state,PEC135
Abílio Santana,pastorabiliosantana,AbilioSantanna,PSC,BA,
Abou Anni,DeputadoFederalAbouAnni,,PSL,SP,1
Acácio Favacho,deputadofederalacaciofavacho,AcacioFavacho,MDB,AM,
Adriana Ventura,adriventurasp,adriventurasp,NOVO,SP,0
Aécio Neves,AecioNevesOficial,AecioNeves,PSDB,MG,
Afonso Florence,afonsoflorence13,AfonsoFlorence,PT,BA,0
Afonso Hamm,depafonsohamm,DepAfonsoHamm,PP,RS,
Afonso Motta,AfonsoMottaOpina,afonso_motta,PDT,RS,0
Aguinaldo Ribeiro,depaguinaldoribeiro,depaguinaldo11,PP,PB,
Airton Faleiro,airtonfaleiropt,FaleiroAirton,PT,PA,0
AJ Albuquerque,albuquerque.aj,,PP,CE,
Alan Rick,alanrickoficial,Alan_Rick,DEM,AC,1
Alceu Moreira,depalceumoreira,Alceu_Moreira,MDB,RS,1
Alcides Rodrigues,alcidesrodriguesoficial,,PATRIOTA,GO,0
Alê Silva,AleSilvaOficial,alesilva_38,REPUBLICANOS,MG,1
Alencar Santana,AlencarBraga13,AlencarBraga13,PT,SP,0
Alessandro Molon,MolonRJ,alessandromolon,PSB,RJ,0
Alex Manente,alexmanente,AlexManente23,CIDADANIA,SP,0
Alexandre Frota,alexandrefrotaoficial77,77_frota,PSDB,SP,0
Alexandre Leite,AlexandreLeite.SP,lexandreleite,DEM,SP,0
Alexandre Padilha,padilhando,padilhando,PT,SP,0
Alexandre Serfiotis,alexandreserfiotis,AleSerfiotis,PSD,RJ,
Alexis Fonteyne,alexisfonteyne30,AlexisFonteyne,NOVO,SP,1
Alice Portugal,deputadaaliceportugal,Alice_Portugal,PCdoB,BA,0
Aliel Machado,alielmachado,alielmachado,PV,PR,0
Aline Gurgel,dep.alinegurgel,alinegurgel_ap,REPUBLICANOS,AM,1
Aline Sleutjes,alinesleutjes,AlineSleutjes,PROS,PR,1
Altineu Côrtes,altineucortesrj,Altineu,PL,RJ,0
Aluisio Mendes,aluisiomendesma,aluisiomendesma,REPUBLICANOS,MA,1
Amaro Neto,amaronetotv,,REPUBLICANOS,ES,1
André Abdon,depandreabdon,DepAndreAbdon,PP,AM,
André de Paula,andredepaulaoficial,Andredepaula55,PSD,PE,0
André Ferreira,andreferreira.pe,aferreira2222,PL,PE,1
André Figueiredo,DeputadoAndreFigueiredo,andrepdt12,PDT,CE,0
André Fufuca,andrefufuca,DepAndreFufuca,PP,MA,
André Janones,AndreJanones,AndreJanonesAdv,AVANTE,MG,0
Angela Amin,AngelaAmin11,DeputadaAngela,PP,SC,0
Antonio Brito,antoniobritobahia,,PSD,BA,0
Arlindo Chinaglia,depchinaglia,depchinaglia,PT,SP,0
Aroldo Martins,aroldomartinsoficial,aroldomartins,REPUBLICANOS,PR,1
Arthur Oliveira Maia,arthur.oliveiramaia,DepArthurMaia,DEM,BA,
Assis Carvalho,assiscarvalho.pt,assis_carvalho,PT,PI,
Átila Lira,deputadoatilalira,deputadoatila,PP,PI,0
Augusto Coutinho,augusto.coutinho,dep_acoutinho,REPUBLICANOS,PE,0
Áurea Carolina,aureacarolina,aureacarolinax,PSOL,MG,0
Aureo Ribeiro,AureoRibeiroRJ,AureoRibeiroRJ,SOLIDARIEDADE,RJ,0
Bacelar,joaobacelaroficial,DeputadoBacelar,PV,BA,0
Baleia Rossi,baleia.rossi,Baleia_Rossi,MDB,SP,0
Benedita da Silva,blogdabenedita,dasilvabenedita,PT,RJ,0
Benes Leocádio,BenesLeocadioRN,benesleocadiorn,REPUBLICANOS,RN,1
Beto Faro,DeputadoBetoFaro,BetoFaroPT,PT,PA,0
Beto Pereira,BetoPereiraMS,betopereirams,PSDB,MS,0
Beto Rosado,betorosado1111,BetoRosado,PP,RN,0
Bia Kicis,biakicisoficial,Biakicis,PL,DF,1
Bibo Nunes,bibonunes,bibonunes1,PL,RS,1
Bira do Pindaré,bira.dopindare,BiradoPindare,PSB,MA,0
Boca Aberta,marabocaabertaparana,bocaabertajr,PROS,PR,1
Bosco Costa,boscocostase,BoscoCosta_SE,PL,SE,0
Bosco Saraiva,BoscoSaraivaAM,boscosaraiva,SOLIDARIEDADE,AM,0
Bruna Furlan Deputada Estadual,BrunaFurlanDeputadaEstadual,DepBrunaFurlan,PSDB,SP,
Cabo Junio Amaral,cabojunioamaral,cabojunioamaral,PL,MG,1
Cacá Leão,CacaLeaoOficial,CacaLeao,PP,BA,1
Camilo Capiberibe,camilocapiberibe,CamiloPSB,PSB,AM,0
Capitão Alberto Neto,capitaoalbertoneto,capalbertoneto,PL,AM,1
Capitão Augusto,capitaoaugustooficial,capitaoaugusto_,PL,SP,1
Capitão Wagner,capitaowagnersousa,capitao_wagner,PROS,CE,1
Carla Zambelli,ZambelliOficial,Zambelli2210,PL,SP,1
Carlos Bezerra,carlosbezerraoficial,,MDB,MT,
Carlos Chiodini,CarlosChiodini,carloschiodini,MDB,SC,1
Carlos Gomes,carlosgomesdep,carlosgomesdep,REPUBLICANOS,RS,1
Carlos Gurgel,joaocarlosgurgel,depgurgel,PL,RJ,1
Carlos Jordy,carlosjordyoficial,carlosjordy,PL,RJ,1
Carlos Sampaio,DeputadoCarlosSampaio,carlossampaio_,PSDB,SP,0
Carlos Veras,carlosveraspt,carlosveraspt,PT,PE,0
Carlos Zarattini,dep.zarattini,CarlosZarattini,PT,SP,0
Carmen Zanotto,CarmenZanottoSC,carmen_zanotto,CIDADANIA,SC,1
Carol De Toni,carolinerdetoni,CarolDeToni,PL,SC,1
Cássio Andrade,cassioandrade40,cassio4011,PSB,PA,
Celina Leão,CelinaLeaoDf,celinaleao,PP,DF,1
Célio Moura,CelioMouraTO,CelioMouraTO,PT,TO,0
