Domain,Ideological Score,N References
psolnacamara,-0.857,30
psol50,-0.842,1044
azmina,-0.841,11
coletivojuntas,-0.834,13
pcdobba,-0.822,19
pcdobnacamara,-0.82,53
movimentorevista,-0.814,120
vermelho,-0.813,291
esquerdaonline,-0.809,32
almapreta,-0.807,79
recontaai,-0.807,20
jacobin,-0.774,17
coalizaonegrapordireitos,-0.77,51
sensacionalista,-0.755,16
deolhonosruralistas,-0.75,29
cpers,-0.749,19
catarse.me,-0.748,21
outraspalavras.net,-0.741,43
fup,-0.74,14
universa.uol,-0.734,47
sul21,-0.732,406
vozdascomunidades,-0.728,12
brasildefatomg,-0.727,24
blogdokennedy,-0.726,18
extraclasse,-0.721,34
pcdob,-0.721,13
apib.info,-0.721,11
ponte,-0.719,41
apublica,-0.714,148
jornalggn,-0.712,343
institutolula,-0.71,21
jornalistaslivres,-0.709,74
blogdosakamoto,-0.707,101
dilma,-0.707,16
cnte,-0.706,12
jamilchade,-0.705,92
reinaldoazevedo,-0.704,98
josiasdesouza,-0.704,18
conversaafiada,-0.702,64
saibamais.jor.br,-0.702,50
redebrasilatual,-0.7,552
tijolaco.net,-0.7,36
fpabramo,-0.7,21
brasildefators,-0.699,48
cartacampinas,-0.698,30
operamundi,-0.697,32
revistaforum,-0.694,2961
lulalivre,-0.694,48
obrasilsoberano,-0.691,73
ptnosenado,-0.691,45
canaldaresistencia,-0.691,14
revistamarieclaire.globo,-0.69,35
diplomatique,-0.69,27
brasil247,-0.689,3208
brasildefato,-0.689,1031
ambiencia,-0.689,33
diariodocentrodomundo,-0.688,864
viomundo,-0.688,121
claudia,-0.687,13
lula,-0.686,238
mst,-0.686,76
cut,-0.684,274
socioambiental,-0.682,46
dw,-0.68,152
ptnacamara,-0.678,2461
cartamaior,-0.678,40
nocaute.blog.br,-0.678,20
conexaoplaneta,-0.678,12
unisinos.br,-0.677,27
pt,-0.676,1692
outline,-0.672,149
blogdacidadania,-0.671,28
ufmg.br,-0.67,18
reporterbrasil,-0.668,29
midianinja,-0.667,1858
cimi,-0.662,29
elpais,-0.661,873
oeco,-0.661,25
benfeitoria,-0.657,22
cartacapital,-0.653,2942
theintercept,-0.652,2889
fenaj,-0.651,12
pensarpiaui,-0.645,13
sputniknews,-0.644,30
amazonasatual,-0.643,183
buzzfeed,-0.643,77
geledes,-0.641,22
horadopovo,-0.639,48
pragmatismopolitico,-0.639,26
painel,-0.637,89
brasilianismo,-0.637,14
amazoniareal,-0.636,12
programafaixalivre,-0.636,11
piaui,-0.635,150
cnbb,-0.627,28
educacao.uol,-0.621,212
blogdosena,-0.62,13
fiocruz.br,-0.609,14
theguardian,-0.593,329
rfi.fr,-0.591,31
bnews,-0.59,80
noticias.uol,-0.587,3955
mundonegro.inf.br,-0.586,14
aosfatos,-0.584,50
huffpostbrasil,-0.581,83
blogs.globo,-0.579,564
ocafezinho,-0.578,26
catracalivre,-0.572,125
epoca.globo,-0.566,499
plural.jor.br,-0.563,40
usp.br,-0.563,37
talesfaria,-0.562,24
agora,-0.561,64
avaaz,-0.558,33
lemonde,-0.556,24
intercept,-0.555,953
agendadopoder,-0.549,17
m.globo,-0.546,33
un,-0.546,14
correio24horas,-0.543,61
appsindicato,-0.541,101
oab,-0.532,12
bandnewsfm,-0.53,30
diarioonline,-0.526,48
entretenimento.uol,-0.522,45
metro1,-0.52,34
nexojornal,-0.519,141
cultura,-0.518,17
blogdorodrigoferraz,-0.514,13
economia.uol,-0.51,811
brpolitico,-0.507,62
bol,-0.506,17
vaticannews.va,-0.498,28
bhaz,-0.496,44
nacoesunidas,-0.494,22
aventurasnahistoria,-0.493,15
guaiba,-0.487,29
washingtonpost,-0.485,179
bbc,-0.484,1552
sonoticiaboa,-0.476,257
cbn.globo,-0.475,107
change,-0.465,119
mpf.mp.br,-0.464,55
oliberal,-0.457,39
congressoemfoco,-0.455,695
msn,-0.45,33
socialismocriativo,-0.45,29
valor,-0.442,171
otempo,-0.441,435
paranaportal,-0.44,42
huffpost,-0.436,23
nytimes,-0.427,444
economia.ig,-0.427,55
psb40,-0.427,25
esquerdadiario,-0.416,19
afnoticias,-0.415,20
tab.uol,-0.408,21
ultimosegundo.ig,-0.407,91
bahianoticias,-0.403,129
globoesporte.globo,-0.396,47
hypeness,-0.392,25
tvefamosos,-0.389,36
opovo,-0.388,86
poenaroda,-0.387,73
oglobo.globo,-0.381,5643
politicalivre,-0.381,62
itatiaia,-0.38,25
psbnacamara,-0.38,21
ampproject,-0.378,24
folhaimpacto,-0.376,264
conjur,-0.376,120
