"author","Id","Label","party","PEC135","avg_followers","total_posts","type","PDR_posts"
"23rubensbueno","author::23rubensbueno","23rubensbueno","CIDADANIA",0,61630.2742200328,610,"author",0
"abiackelpaulo","author::abiackelpaulo","abiackelpaulo","PSDB",-1,60370.6499085923,1094,"author",0
"adrianodobaldyoficial","author::adrianodobaldyoficial","adrianodobaldyoficial","PP",-1,19477.3932301044,2778,"author",0
"adriventurasp","author::adriventurasp","adriventurasp","NOVO",0,113694.733409611,1748,"author",0
"aecionevesoficial","author::aecionevesoficial","aecionevesoficial","PSDB",3,3722942.26190476,126,"author",0
"afonsoflorence13","author::afonsoflorence13","afonsoflorence13","PT",0,57876.1693705386,3082,"author",0
"afonsomottaopina","author::afonsomottaopina","afonsomottaopina","PDT",0,51805.5737211635,997,"author",0
"airtonfaleiropt","author::airtonfaleiropt","airtonfaleiropt","PT",0,13161.33815726,4146,"author",0
"alanrickoficial","author::alanrickoficial","alanrickoficial","UNIAO",1,28625.3259911894,2043,"author",3
"albuquerque.aj","author::albuquerque.aj","albuquerque.aj","PP",-1,18423.9432624113,282,"author",0
"alcidesrodriguesoficial","author::alcidesrodriguesoficial","alcidesrodriguesoficial","PATRIOTA",0,4322.27142857143,406,"author",0
"alencarbraga13","author::alencarbraga13","alencarbraga13","PT",0,135640.602602427,5687,"author",0
"alesilvaoficial","author::alesilvaoficial","alesilvaoficial","REPUBLICANOS",1,191188.938416422,4775,"author",0
"alexandrefrotaoficial77","author::alexandrefrotaoficial77","alexandrefrotaoficial77","PROS",1,34445.0520016508,2556,"author",10
"alexandreleite.sp","author::alexandreleite.sp","alexandreleite.sp","UNIAO",0,118272.847812302,1577,"author",0
"alexandreserfiotis","author::alexandreserfiotis","alexandreserfiotis","NotApplicable",-1,93897.7311111111,1465,"author",0
"alexisfonteyne30","author::alexisfonteyne30","alexisfonteyne30","NOVO",1,214645.303209459,2370,"author",3
"alexmanente","author::alexmanente","alexmanente","CIDADANIA",0,182912.504258339,2818,"author",0
"alielmachado","author::alielmachado","alielmachado","PV",0,73349.0047337278,845,"author",0
"alinesleutjes","author::alinesleutjes","alinesleutjes","PROS",1,110303.18149339,2799,"author",22
"altineucortesrj","author::altineucortesrj","altineucortesrj","PL",0,52547.8100172712,579,"author",0
"aluisiomendesma","author::aluisiomendesma","aluisiomendesma","REPUBLICANOS",1,14257.2006489995,1849,"author",4
"amaronetotv","author::amaronetotv","amaronetotv","REPUBLICANOS",1,160990.5234375,128,"author",0
"amigoneyleprevost","author::amigoneyleprevost","amigoneyleprevost","NotApplicable",-1,151936.161007667,3652,"author",0
"andredepaulaoficial","author::andredepaulaoficial","andredepaulaoficial","PSD",0,22674.8398195149,1773,"author",0
"andreferreira.pe","author::andreferreira.pe","andreferreira.pe","PL",1,51071.359375,1088,"author",2
"andrefufuca","author::andrefufuca","andrefufuca","PP",-1,28045.6437908497,306,"author",0
"andrejanones","author::andrejanones","andrejanones","AVANTE",0,5551073.14948454,1940,"author",0
"angelaamin11","author::angelaamin11","angelaamin11","PP",0,37178.7400362319,1104,"author",0
"antoniobritobahia","author::antoniobritobahia","antoniobritobahia","NotApplicable",-1,13556.7449584816,843,"author",0
"aroldomartinsoficial","author::aroldomartinsoficial","aroldomartinsoficial","REPUBLICANOS",1,75840.6577684463,3416,"author",6
"arraes","author::arraes","arraes","SOLIDARIEDADE",0,143707.02543554,2870,"author",0
