community_number,n_members,n_wolves,Q1_posts,Q2_posts,Q3_posts,top_domains,n_domains,top_hashtags,n_hashtags,top_terms,n_posts,total_engagement,mean_engagement
1,1,0,6,1,0,rubensbueno; cidadania23pr; veja; folha; oantagonista; crn1; goio.news; tribunadointerior; exame; poder360; catve; youtube; cbncuritiba; contraponto.jor.br; reuters,1.0000000000000002,fimdossupersalarios; teto; todospelainovacao; diadoimigrante; diainternacionaldademocracia; cooperativismo; eventos; 6deagosto; ocepar; pequenoempresario; dislexia; almirantetamandare; diainternacionaldoestudante; dianacionaldaimprensa; emdefesadaciencia,0.9999999999999993,mourao; supersalario; sertanopoli; battilani; silvestri; douglas; fabricio; cidadanio; camillo; penduricalho; barrar; digito; brasilitalia; comcam; veto; juiz; compulsorio; wirbiski; utfpr; liderancas,1099,240810,219.11737943585078
2,219,2,933,297,9,veja; exame; folha; g1.globo; youtube; extra.globo; glo.bo; band; estadao; google; camara.leg.br; jovempan; oglobo.globo; correiobraziliense; republicanos10,207,trabalhoeresultado; amorpelobrasil; mandatomunicipalista; deputadomunicipalista; educacao; aquitemtrabalho; nadaresisteaotrabalho; coronavirus; coragempramudar; umanovahistoria; eleicoes2020; emdefesadafamilia; covid19; educacaoquetransforma; frentepopulardepernambuco,218.99999999999997,amorpelobrasil; camaradosdeputado; pastor; rodriguessr; viceprefeito; exprefeito; pavimentacao; municipalista; igreja; mandatomunicipalista; essalutaenossa; nadaresisteaotrabalho; emancipacao; deputadomunicipalista; drluizovar; ofederalquefaz; aforcadamulher; brasilgigante; bencao; custeio,426195,145044251,340.32368047489996
3,108,35,3551,2391,158,veja; glo.bo; folha; estadao; jovempan; g1.globo; pleno.news; oantagonista; gazetadopovo; youtube; cnn; uol; exame; cnnbrasil; poder360,105,fechadocombolsonaro; otrabalhonaopara; lealdadeacimadetudo; bolsonaro; forcaehonra; bolsonaro22; politicadobem; vamosjuntos; politica; coronavirus; bolsonaropresidente22; novaprevidencia; bolsonarotemrazao; jairbolsonaro; bolsonaro2022,107.99999999999999,lula; minhacoreobrasil; forcaehonra; fechadocombolsonaro; corrupcao; jairmessiasbolsonaro; esquerda; prisao; absurdo; instancia; tributar; bandido; twitter; bibonunes1; otrabalhonaopara; criminoso; leomottaoficial; atuacaoparlamentar; lealdadeacimadetudo; arma,373417,2359698813,6319.20564141429
4,87,1,2229,1348,93,folha; veja; ptnacamara; brasil247; g1.globo; theintercept; uol; cartacapital; estadao; glo.bo; oglobo.globo; revistaforum; noticias.uol; pt; midianinja,87,forabolsonaro; lula13; lulalivre; vamosjuntospelobrasil; vote13; lulapresidente; lula2022; lula; lulapresidente13; cpidacovid; brasildaesperanca; impeachmentja; vazajato; mandatopopular; mandatocoletivoeparticipativo,86.99999999999997,lula; forabolsonaro; indigena; forabolsonarar; desgoverno; fome; felixmendoncajr; negro; lulalivre; lula13; dilma; jato; haddad; pobre; amazonia; impeachment; mandatopopular; privatizacao; ataque; moro,513123,838343270,1633.8056762218805
5,1,0,7,1,0,arede.info; alielmachado; diariodoscampos; uol; veja; ncg.news; correiodoscampos; g1.globo; glo.bo; estadao; folha; dpontawebnews; plural.jor.br; ge.globo; economia.uol,1.0000000000000004,pavimentacao; trajetoria; pisonacionaldaenfermagem; telemacoborba; enfermagem; educacao; resultado; naoviolenciaativa; obras; pl2564; projetodelei; candidodeabreu; saojoaodotriunfo; piraidosul; prestacaodecontas,1,grosso; ponta; uepg; ayla; stocco; camposgeral; sueli; telemaco; cufa; arede; samuel; pontagrossense; pavimentacao; molon; tarifa; instancia; utfpr; sanches; comexmec; twitter,1503,708199,471.1902860944777
6,1,0,0,0,0,NA,0,devercumprido; prestacaodecontas; balancogeral; agoraefederal; familia; bencaodedeus; equipe10; metas2020; umanovahistoria; comissaodeorcamento; umnovotempo; seguranca; orgulhodeserbrasileiro; presentededeus; ansiedade,1.0000000000000002,muleque; turminha; enrico; balanco; prestacaodeconto; turma; melissa; cade; rosalino; hein; maro; grade; gosta; balancogeral; colar; avisar; prestacaodeconta; abirochas; sindirochas; colado,214,180905,845.3504672897196
7,1,0,0,0,0,NA,0,cssf; santascasas; manoelvitorino; boanova; americadourada; coronavirus; hospitaisfilantropicos; covid19; comissaoexterna; antoniogoncalves; carnaval2019; 7deabril; pelourinho; sus; portugal,1.0000000000000002,filantropico; edvaldo; professoredvaldobrito; tuberculose; seguridade; viceprefeito; brasilportugal; reuni; silvany; emancipacao; otto; conder; exprefeito; portugal; externo; hunaldo; filantropia; moana; doutorluizinho; mandetta,902,54036,59.90687361419069
8,1,0,0,0,0,deputadoaureo; veja; solidariedade; whatsapp; congressoemfoco; santoantoniodepadua.rj.leg.br; smeduquedecaxias.rj.gov.br; solidariedaderj; bitly; youtube; extra.globo; oglobo.globo; folha; exame; glo.bo,1.0000000000000002,oportunidade; custobrasil; cultura; economiacriativa; educacaopublica; educacao; renda; empreendedorismo; criptomoedas; podcast; moedasvirtuais; bitcoin; culturaparatodos; mandatoparticipativo; educacaoespecial,0.9999999999999996,duque; criptomoeda; empreendedorismo; criativo; fazedor; whatsapp; empreendedor; custobrasil; economiacriativo; empreender; caxia; equidade; ponta; alia; aldir; blanc; educacaopublico; democratizar; mover; webserie,1197,606672,506.82706766917295
9,6,0,13,4,0,betopereirams; nerigeller; bezerra1515; deputadocarloschiodini; jdv; nsctotal; juarezcosta; veja; exame; araguaianoticia; gcnoticias; folharegionalwebtv; radioschroederfm; uaaau; wh3,6,penaestrada; jaraguadosul; emendas; tmj; brasildaesperanca; altafloresta; municipalismo; coronavirus; sociedade; governodoestado; araguaia; varzeagrande; municipios; educacao; agriculturafamiliar,5.999999999999999,grosso; mato; matogrossense; araguaia; lula; jaraguadosul; prafazeracontecer; pavimentacao; brasildaesperanca; maquinario; emerigeller; mauromendesoficial; antidio; rondonopoli; penaestrar; lunelli; marcia; vote; peloagro; agro,6134,1116561,182.02820345614606
10,1,0,1,0,0,NA,0,eleicoes22; politica; partidopolitico; presidenciadarepublica; precandidato; uniaobrasil44; impostounico; brasilmelhor; covid19; coronavirus; direitaracional; trend; segurodesemprego; diadoescritor; chile,1,eleicoes22; politicar; presidenciadarepublico; partidopolitico; comite; chaparral; josafa; digitar; dellon; raffie; leao; jaboatao; uniaobrasil44; rossini; rossinar; enriquecedor; vote; romero; abreu; caravana,232,25035,107.90948275862068
11,1,0,1,0,0,boscosaraiva; instagram; acritica; band; bncamazonas; bit.ly; manaus.am.gov.br; portalprestacaodecontasam; radiopeaobrasil; redacaoam; chumbogrossomanaus; portaldoholanda; solidariedade; veja; google,0.9999999999999999,historia; curiosidade; cdeics; zonafrancademanaus; cultura; seriedade; camarafederal; compromisso; biografia; desenvolvimentoeconomico; zfm; servicos; deputadoestadual; industria; comercio,0.9999999999999994,manauscity; play; cdeics; amazonasmeuamor; apertar; camarafederal; zonafrancademanau; deputadoestadual; desenvolvimentoeconomico; zonafrancademanaus; franco; curiosidade; autaz; prosamim; amazonia; manausam; seriedade; urucar; biografia; uatum,2324,208953,89.91092943201377
12,1,0,3,0,0,clmais; nsctotal; jornalomomento; noticianoato; youtube; carmenzanotto; camara.leg.br; blogdoprisco; amures; folha; senado.leg.br; g1.globo; folhadaserra2; olivetesalmoria; alesc.sc.gov.br,1.0000000000000002,serracatarinense; enfermeira; enfermagem; juntoscontraocoronavirus; sus; eleicoes2020; juntossomosmaisfortes; vemcomigo; pisosalarialenfermagem; pl2564; acs; cancer; pisodaenfermagem; vacinacovid; br282,0.9999999999999999,serracatarinense; bonfa; lage; emilia; juntoscontraocoronavirus; lageano; amur; carmenzanottolages; eleicoes2020; juntossomosmaisforte; vemcomigo; serrano; deputadafeferal; indiquei; pisosalarialenfermagem; apae; destaquei; diagnostico; pisodaenfermagem; uniplac,2819,820524,291.069173465768
