source,target,similarity_total,similarity_text,similarity_hashtag,similarity_url,similarity_domain,text_share,hashtag_share,url_share,domain_share,max_share,n_active_modalities,non_domain_similarity
cassioandrade40,cassioandrade4011,0.9284316349199763,0.9195531861592273,0.9874182569038036,0.9999999999999998,0.7561061483997635,0.6602914359896018,0.14180448256539807,0.14361136385106654,0.0542927175939335,0.6602914359896018,4,0.9407405982428487
deputadohenriquefontana,gleisi.hoffmann,0.6937260411545473,0.8707920682811823,0.3972829137418649,0.13780435376953426,0.6277953994835863,0.8368260827496585,0.07635731113311513,0.026485835540148894,0.06033077057707732,0.8368260827496585,4,0.698435372702473
DeputadaMariaDoRosario,ErikaKokay,0.6844646281776853,0.7989640731296977,0.8761651974027326,0.054500431463456955,0.4159974336359224,0.7781888113603525,0.17067649884463812,0.010616654091350899,0.040518035703658556,0.7781888113603525,4,0.7036408563592397
gleisi.hoffmann,PauloTeixeira13,0.674425405664273,0.8129986420323483,0.5642749066952598,0.12956893309431974,0.5987069850614528,0.8036457258818595,0.1115566726789163,0.02561566868747108,0.059181932751753166,0.8036457258818595,4,0.6798338642787601
bohngass13,deputadomarcon,0.6540721852248376,0.8154673498158655,0.49232313966457336,0.046644021979912166,0.5784749569249394,0.8311695744872035,0.10036061274497546,0.00950843511028848,0.05896137765753265,0.8311695744872035,3,0.6594719872462589
ErikaKokay,PauloTeixeira13,0.6521102331516102,0.734201641090244,0.762722925928653,0.042737384317068854,0.8287164658802695,0.7505905226502283,0.15594969217447754,0.008738274020640468,0.08472151115465369,0.7505905226502283,3,0.6394955022424202
DeputadoBetoFaro,gleisi.hoffmann,0.6515671058918625,0.8031773610296818,0.4822986670936825,0.07532435771547111,0.626486928462813,0.8217903715180095,0.09869511269725911,0.015413988220981459,0.06410052756375008,0.8217903715180095,4,0.6533585471367946
gleisi.hoffmann,guimaraes13pt,0.63919113189039245,0.7564900170210151,0.5312101894043251,0.06320816298242105,0.8341301033722447,0.7890076267523863,0.11080883591804196,0.01318503127444513,0.08699850605512678,0.7890076267523863,4,0.6252669196416888
afonsoflorence13,DeputadoBetoFaro,0.6369468016698728,0.7365170104093797,0.5975584571653841,0.0784464540552737,0.8370220985129777,0.770882809970383,0.12508809330151804,0.01642135132784757,0.08760774540025121,0.770882809970383,4,0.6226557090382224
fernandapsol,samia.bomfim.psol,0.6352866890357771,0.6710989053229822,0.8809812992422815,0.32268771612466585,0.4109732515729399,0.7042478269053194,0.18489947178113947,0.067725374321827,0.04312732699171406,0.7042478269053194,4,0.6513090774259798
drhirangoncalves,ottoalencaroficial,0.6329235313198068,0.7356279476684727,0.8447421608493025,0,0.448089171413769,0.774846577052261,0.1779556021220657,0,0.047197820825673205,0.774846577052261,3,0.6461259855988094
deputadohenriquefontana,PauloTeixeira13,0.631219396217965,0.807638879406402,0.34969245142073846,0.05494713880611758,0.582622968751742,0.8529933060205668,0.07386601309908353,0.011606559015843657,0.06153412186450597,0.8529933060205668,4,0.6346905696084094
afonsoflorence13,carlosveraspt,0.6305797339352246,0.7350261001945367,0.7512709363489023,0.019562767576168493,0.566767599232861,0.7770903087412376,0.1588529614720276,0.004136461845796871,0.05992026794093803,0.7770903087412376,3,0.635137743556822
DeputadaMariaDoRosario,deputadomarcon,0.6250485804865161,0.6757909649105996,0.8470603870489485,0.0529648990186217,0.8177684860566055,0.7207876699595492,0.18069217092205878,0.011298300254228911,0.08722185886416303,0.7207876699595492,4,0.6112828729457955
gleisi.hoffmann,PedroUczai,0.6239103771218041,0.7701652026753315,0.44754057716352635,0.11175503890954784,0.5384123979275975,0.8229442677629693,0.09564206517995974,0.023882712006403073,0.05753095505066801,0.8229442677629693,4,0.630017375635676
ErikaKokay,guimaraes13pt,0.6223176780237794,0.7088822878843002,0.7036230452027604,0.038490017945975015,0.7617161652162171,0.7594002365859336,0.15075323960739215,0.008246595869000157,0.08159992793767422,0.7594002365859336,3,0.6123606432243195
carlosveraspt,ErikaKokay,0.6223164723216764,0.704665511171552,0.8648884362157592,0,0.5583151006781084,0.7548844170797921,0.1853051675329798,0,0.05981041538722808,0.7548844170797921,3,0.6268879988676456
depjorgesolla,deputadohenriquefontana,0.622161177132137,0.7737188214039059,0.2668862069175487,0.12674459770128804,0.8079678337053238,0.8290657896403163,0.05719551283002804,0.027162221486404216,0.08657647604325144,0.8290657896403163,4,0.6088892730911952
carlosveraspt,PauloTeixeira13,0.6199823749664236,0.7239895320927632,0.7286572173255128,0,0.602525868917696,0.7785054987861253,0.15670493156948745,0,0.06478956964438728,0.7785054987861253,3,0.6212292682556184
DeputadaMariaDoRosario,PauloTeixeira13,0.6197549419553884,0.7292304619894545,0.7073460012200009,0.04658411769799663,0.49615927160028556,0.7844288256781624,0.15217756854846617,0.010022051092435365,0.05337155468093607,0.7844288256781624,4,0.62858320412361
afonsoflorence13,gleisi.hoffmann,0.6194637516963423,0.7634288260453179,0.5349668278920651,0.022158482875386368,0.5434173934570529,0.8216018278763861,0.11514622153480535,0.004769390259388593,0.05848256032942001,0.8216018278763861,3,0.62489563442772
IvanValentePSOL,samia.bomfim.psol,0.6184203458342176,0.7017301365861484,0.8274970654003643,0.09373638715137338,0.41653691654830716,0.7564759054399588,0.17841091871669967,0.020209854086635903,0.04490332175670579,0.7564759054399588,4,0.6328405907832113
guimaraes13pt,PauloTeixeira13,0.6176486817026208,0.7166076823518451,0.6288419288354029,0.03701166050988025,0.7669462233302944,0.7734792756041965,0.13574964700039008,0.007989797783394335,0.08278127961201909,0.7734792756041965,3,0.6069845715863584
bohngass13,DeputadaMariaDoRosario,0.6164025602143998,0.7269199051137171,0.5919833218946554,0.11528980931945992,0.5622930896505948,0.7861960695089442,0.12805123580035083,0.024938206892880597,0.060814487797824376,0.7861960695089442,4,0.6202675223975287
afonsoflorence13,ErikaKokay,0.6145264740097587,0.7166959186037704,0.7500254497275158,0.08770580193070296,0.3754754207922389,0.7775047931646845,0.16273244119896788,0.019029459947901325,0.04073330568844637,0.7775047931646845,4,0.6316015492395816
DeputadaMariaDoRosario,guimaraes13pt,0.6140808577754171,0.7041345453668969,0.7398924022224378,0.05244306462729598,0.5851964792628219,0.7644319543604406,0.16065037534911136,0.011386788121524664,0.06353088216892344,0.7644319543604406,4,0.616144027669174
afonsoflorence13,DeputadaMariaDoRosario,0.6129780815307537,0.7114027854019928,0.7173799874657621,0.01593334682357269,0.6140167003627082,0.7737120427160559,0.15604255335944842,0.003465778479122405,0.06677962544537326,0.7737120427160559,3,0.6129038944713284
carlosveraspt,DeputadaMariaDoRosario,0.6128491673437305,0.7040971965157805,0.8036908689634324,0.01215631406418136,0.5200711789429265,0.7659276638084223,0.17485343578570156,0.0026447647505982415,0.05657413565527809,0.7659276638084223,3,0.6194761665152165
DeputadoBetoFaro,rfalcao13,0.6126389883927599,0.7419999024143331,0.3660017760917139,0.05892556509887909,0.91973111936688,0.8074357182315454,0.07965578054419045,0.01282442378307624,0.10008407744118791,0.8074357182315454,4,0.5907038361803227
dep.zarattini,gleisi.hoffmann,0.6124143572660224,0.8014916869360413,0.47935086654043546,0.04100655320345775,0.13058365014213918,0.8724939004958553,0.1043630805087333,0.008927844950494349,0.0142151740449172,0.8724939004958553,3,0.6468308363462999
carlosveraspt,DeputadoBetoFaro,0.6122012949477447,0.7164911536053274,0.6408569613290188,0.06982565352753439,0.5967426584497898,0.7802348231082878,0.1395743451525412,0.015207558712856466,0.06498327302631461,0.7802348231082878,4,0.6133054832690271
dep.zarattini,guimaraes13pt,0.6114800014608808,0.7577571373410193,0.6641903735716049,0.05354795526016658,0.15915199083947323,0.8261454564124958,0.14482684023130643,0.011676142066731144,0.017351561289466518,0.8261454564124958,4,0.6437891450766955
dep.zarattini,ErikaKokay,0.610431637109981,0.7387785115469198,0.735511317895576,0.09274777915203372,0.11217124708529752,0.8068372898064746,0.16065382224240984,0.020258403729124633,0.012250484221990796,0.8068372898064746,4,0.646021664968887
deputadorogeriocorreia,gleisi.hoffmann,0.6104085561405406,0.7502628027733965,0.4152276017214094,0.08466990662859168,0.6537052976741424,0.8194105354803883,0.09069938432641221,0.018494696331243708,0.07139538386195592,0.8194105354803883,4,0.6073159317452833
carlosveraspt,guimaraes13pt,0.6099548338431896,0.7051753600990368,0.6623544536859002,0,0.7728599992856752,0.7707405215081079,0.1447876502620262,0,0.08447182822986596,0.7707405215081079,3,0.5983187505972978
afonsoflorence13,guimaraes13pt,0.6096301877986282,0.7215172518035101,0.6510776010784186,0,0.6271250967874851,0.7890217886671104,0.14239837289542298,0,0.06857983843746658,0.7890217886671104,3,0.6083805514422813
afonsoflorence13,dep.zarattini,0.6095039424158996,0.7587182840068242,0.6740023734617515,0.04067259173910425,0.12602636576853934,0.8298751724771258,0.14744282501607206,0.008897419449635216,0.013784583057166875,0.8298751724771258,3,0.6440380550335681
afonsoflorence13,PedroUczai,0.608491092169882,0.7305611919156582,0.6452055113869752,0.010209398197194845,0.5109246442233079,0.8004074355035323,0.14137824304294952,0.002237096171950649,0.055977225281567476,0.8004074355035323,3,0.6154601241660658
carlosveraspt,gleisi.hoffmann,0.605356081529756,0.7380633745273851,0.5675494632872551,0.02817628127156005,0.5082559885548584,0.8128145808686937,0.125006197311845,0.006205996135994891,0.05597322568346637,0.8128145808686937,3,0.6122918024565344
dep.zarattini,PauloTeixeira13,0.6050603657386231,0.7586144243499822,0.6348628940786203,0.059456962232626365,0.1011215299570327,0.8358553595710615,0.13990072837412754,0.013102155443073233,0.011141756611737885,0.8358553595710615,4,0.6410559968658796
DeputadoBetoFaro,guimaraes13pt,0.6048437457221568,0.7219722191673824,0.5095777326544251,0.06024640760767093,0.7132857136343365,0.7957671980282879,0.11233264486538568,0.013280875274817602,0.07861928183150892,0.7957671980282879,4,0.5970978908712868
afonsoflorence13,PauloTeixeira13,0.6030606313621438,0.7354002488006459,0.6451971459309208,0.018741582819745854,0.36402952492436436,0.8129644135887125,0.14264948108088846,0.00414365916019951,0.04024244617019954,0.8129644135887125,3,0.6201342818219853
DeputadaMariaDoRosario,PedroUczai,0.6027164479881334,0.7139822233908713,0.6923237576563982,0.05709712869988796,0.40208271320071665,0.7897381107087673,0.1531563219525807,0.012631064771386962,0.044474502567265047,0.7897381107087673,4,0.6170474290443775
deputadorogeriocorreia,PauloTeixeira13,0.6007552583462696,0.717157604854341,0.523215091680385,0.03736360180811058,0.7185954396736425,0.7958400084903107,0.11612384786458445,0.008292584218286233,0.07974355942681857,0.7958400084903107,3,0.5923381025371716
DeputadoBetoFaro,deputadohenriquefontana,0.59983080604709,0.7775849921542525,0.21416168824940374,0.05575555983886036,0.6817776729872984,0.8642270279276139,0.047604910382587864,0.01239361928436494,0.07577444240543335,0.8642270279276139,4,0.5939774584085038
afonsoflorence13,rfalcao13,0.5989668523874276,0.7233470454142078,0.4349257863852122,0.011556254088025625,0.8580682507228611,0.8051052603117206,0.09681688497488353,0.00257248606039181,0.09550536865300405,0.8051052603117206,3,0.5804596096491824
PauloTeixeira13,PedroUczai,0.5983569804045177,0.7363308413248385,0.6315324065617441,0.03731135496123576,0.27435876977342144,0.8203919125636827,0.14072589379332234,0.008314179479951141,0.03056801416304382,0.8203919125636827,3,0.6214997097353103
dep.zarattini,DeputadoBetoFaro,0.5973439007766764,0.7601720528763242,0.5603129298293055,0.04147806778921708,0.15485598764985833,0.8483913000957917,0.12506763783269623,0.009258333484901324,0.017282728586610608,0.8483913000957917,3,0.6289501802857348
carlosveraspt,PedroUczai,0.5957825894116966,0.705216427696009,0.6517435607084224,0.007789239276946774,0.5655089642446215,0.789120550828642,0.14585713475379988,0.0017431950100317032,0.06327911940752652,0.789120550828642,3,0.5979449912093449
gleisi.hoffmann,rfalcao13,0.5953411234587133,0.7614358191465059,0.30444494599943545,0.05326236412913091,0.6003440401585074,0.8526605326403384,0.06818386613503692,0.011928704856289479,0.06722689636833518,0.8526605326403384,4,0.5949837722658708
deputadohenriquefontana,deputadorogeriocorreia,0.5934305623959393,0.7653646271774925,0.1857018200437426,0.09196609914233987,0.6924763257919991,0.8598193573396693,0.04172390881341039,0.020663153078608425,0.07779358076831193,0.8598193573396693,4,0.5863558650105064
carlosveraspt,dep.zarattini,0.5928710594711709,0.7302493031553657,0.7111486768631373,0.01551553494879349,0.137244436890043,0.8211445996444641,0.15993329758131394,0.0034893556703842793,0.015432747103837643,0.8211445996444641,3,0.6254158182269657
guimaraes13pt,PedroUczai,0.5924116156929621,0.6985093512459257,0.6406256182753105,0.0067206486545459436,0.6063881890754618,0.7860630826522623,0.14418479793557074,0.001512607895482624,0.06823951151668432,0.7860630826522623,3,0.5914132890227836
DeputadaMariaDoRosario,gleisi.hoffmann,0.5903732175875456,0.7152293740050768,0.518578675127995,0.06425670027826631,0.5376337729498931,0.8076578822773991,0.11711883481595455,0.014512108242497813,0.06071117466414858,0.8076578822773991,4,0.5941403207759492
DeputadoBetoFaro,PedroUczai,0.5898776696831692,0.7122214261434159,0.5133638549509162,0.05726371269248909,0.58469564852657,0.8049368682673467,0.11603848986217778,0.012943635748125234,0.06608100612235046,0.8049368682673467,4,0.5902478140514978
deputadohenriquefontana,PedroUczai,0.58934090091556,0.7639719803439179,0.23947073608569894,0.09795999967020128,0.52553223878242,0.8642105999623907,0.05417820386891491,0.02216261126466697,0.05944858490402739,0.8642105999623907,4,0.5938986624964986
dep.zarattini,DeputadaMariaDoRosario,0.5892912890803235,0.7241795287955054,0.7241852190934359,0.025273969905316277,0.0986556702522932,0.8192660598866084,0.16385449946689568,0.005718500708370119,0.011160939938125792,0.8192660598866084,3,0.6243366904251827
deputadohenriquefontana,guimaraes13pt,0.589246406325874,0.7344334823382592,0.33141889997338775,0.058483846068477036,0.7145557794217886,0.8309296693242132,0.07499271304622974,0.01323359134438424,0.0808440262851728,0.8309296693242132,4,0.580295736819023
dep.zarattini,PedroUczai,0.5878353616260639,0.7349085089968246,0.6334219823713679,0.040486161765704125,0.12062904614856655,0.8334629693637672,0.14367333071382501,0.009183106792285454,0.013680593130122215,0.8334629693637672,3,0.621207241303028
afonsoflorence13,deputadohenriquefontana,0.586783528481862,0.7472158936721284,0.2411625529193865,0.041004618405236386,0.7652596478574016,0.848939864422507,0.054798755410040687,0.009317375469240897,0.08694400469821145,0.848939864422507,3,0.5740352342407521
DeputadaMariaDoRosario,deputadohenriquefontana,0.5846505631391096,0.7276178866192676,0.24586134601343154,0.09130437769703886,0.8192481334730263,0.8296897696891365,0.05607026635838708,0.02082255246776395,0.09341741148471251,0.8296897696891365,4,0.5678935938295441
afonsoflorence13,deputadowaldenorpereira,0.5836671606943571,0.6925029163090191,0.6457216149573228,0,0.5385350174105207,0.7909792463284337,0.14750909615202448,0,0.061511657519541886,0.7909792463284337,3,0.5868908852146311
ErikaKokay,PedroUczai,0.5831293280142972,0.6894451133868449,0.7080357922995064,0.05820252464746502,0.32001215245206466,0.7882129289507468,0.161893370426202,0.013308088355095964,0.03658561226795515,0.7882129289507468,4,0.601923411983028
DeputadoBetoFaro,PauloTeixeira13,0.5825380860250055,0.7283869887229416,0.5276764108426882,0.038225478605399786,0.3223976242494904,0.8335786748790368,0.120776403237616,0.008749179844184805,0.03689574203916245,0.8335786748790368,3,0.6011195475803994
JandiraFeghaliOficial,PauloTeixeira13,0.5805928152349362,0.6911354686097988,0.47827828692806545,0.08158899461613238,0.6778029793376605,0.7935974524361871,0.10983676784093645,0.01873693977952919,0.07782883994334748,0.7935974524361871,4,0.5736492320847416
deputadomarcon,gleisi.hoffmann,0.579637532339368,0.6789290600678267,0.6009926147305813,0.06354825969269969,0.5761906355656907,0.7808662278162314,0.13824561757989823,0.014617930723297434,0.06627022388057287,0.7808662278162314,4,0.5798837392517735
afonsoflorence13,deputadomarcon,0.5783199524814341,0.6382151379366886,0.7483116575457291,0.04011045583974574,0.7158036810836743,0.7357117056031682,0.17252541131367413,0.009247581301121468,0.08251530178203606,0.7357117056031682,3,0.5684996861527025
ErikaKokay,gleisi.hoffmann,0.5782809170565343,0.6867923157904346,0.554155751981947,0.06737215368532166,0.5632347866091294,0.7917631904417971,0.12777083147353713,0.015533892887963582,0.0649320851967022,0.7917631904417971,4,0.5793556406599203
fernandapsol,IvanValentePSOL,0.5780724421344143,0.6323163713224388,0.8385521947586532,0.09406443366863343,0.48268966193725144,0.7292239117848736,0.19341340488110698,0.021696112070042003,0.05566657126397729,0.7292239117848736,4,0.584885497862783
dep.zarattini,rfalcao13,0.5775601358896427,0.7615065541027082,0.3861074872541812,0.07332355751067678,0.12947440778784192,0.8789925144097469,0.08913530401688634,0.01692719723409883,0.01494498433926786,0.8789925144097469,4,0.6095662593254856
carlosgomesdep,deputadarosangelagomes,0.577290385289438,0.6498848706025593,0.026575547399393894,0.6795683827350908,0.7482192130470081,0.75050025332482,0.0061379964229659155,0.15695587525259597,0.08640587499961808,0.75050025332482,3,0.5650811833067545
