author,label,party,state,PEC135,ideology_2021,mean_page_followers,louvain_community,degree,strength,total_posts,total_image_posts,total_video_posts,total_text_posts,total_engagement,mean_engagement,Q1,Q2,Q3,is_wolf
23rubensbueno,Rubens Bueno,CIDADANIA,PR,0,-0.014,61535.700364298726,1,0,0,1099,650,253,196,240810,219.11737943585078,6,1,0,0
DeputadoAndreFigueiredo,André Figueiredo,PDT,CE,0,-0.356,84128.8865157794,2,215,73.69914247164648,3137,2351,696,90,800218,255.09021357985335,5,3,0,0
DelegadoPablo,Delegado Pablo,PSL,CE,1,0.803,33402.98644902987,2,201,65.13131664621109,3247,1759,1478,10,1396301,430.0280258700339,11,10,0,1
DeputadoNicoletti,Deputado Federal Nicoletti,PSL,RR,1,0.803,26812.25,2,193,49.45211436436675,3608,2383,1217,8,679129,188.22865853658536,10,7,0,0
gervasiomaiapb,Gervásio Maia,PSB,PB,0,-0.427,24202.985627418464,2,161,48.08748142714181,1809,1326,477,6,266023,147.05527915975676,3,2,0,0
delegado.waldir,Delegado Waldir,PSL,GO,0,0.803,888923.7066521265,2,174,47.98748771256657,2751,720,2028,3,11397021,4142.864776444929,1,0,0,0
Drdenisbezerra,Denis Bezerra,PSB,CE,0,-0.427,18838.11547911548,2,204,47.97128931704207,1628,1305,315,8,169609,104.18243243243244,7,4,0,0
abiackelpaulo,Paulo Abi-Ackel,PSDB,MG,0,0.157,60143.59713261649,2,196,46.646558162609956,1395,1108,278,9,145037,103.96917562724015,8,3,0,0
capitaowagnersousa,Capitão Wagner,PROS,CE,1,0.19,335529.2484864438,2,189,45.511459124086656,3800,1984,1794,22,7402051,1947.9081578947369,14,5,0,0
idilvanoficial,Idilvan,PDT,CE,0,-0.356,16523.277326670832,2,191,41.158084735535454,1601,1150,397,54,791935,494.65021861336663,0,0,0,0
drdamiao,Dr. Damião,PDT,PB,0,-0.356,10851.462121212122,2,161,38.54048014542069,1056,872,182,2,48642,46.0625,1,0,0,0
AlexandreLeite.SP,Alexandre Leite,DEM,SP,0,0.431,118683.5485799701,2,175,38.48874294925206,2007,1450,546,11,330464,164.65570503238663,4,1,0,0
margaretecoelho.castro,Margarete Coelho,PP,PI,0,0.51,22154.745568685375,2,167,38.27360509090043,2708,2020,682,6,126419,46.683530280649926,32,1,0,0
betorosado1111,Beto Rosado,PP,RN,0,0.51,28925.515555555554,2,149,38.17915887219488,1800,1227,573,0,265158,147.31,3,0,0,0
jhc,JHC,PSB,AL,0,-0.427,77546.63680623175,2,172,37.25482229599547,2054,1568,478,8,652494,317.6699123661149,0,0,0,0
FelipeCarrerasOficial,Felipe Carreras,PSB,PE,0,-0.427,121832.25101449275,2,185,36.81128529535876,1725,1545,178,2,119227,69.11710144927537,4,1,0,0
joaocampospsb,João Campos,REPUBLICANOS,GO,0,0.55,102914.66300562551,2,174,34.76414816832045,3733,2173,1532,28,2656300,711.5724618269488,3,0,0,0
