category,domain,n_mentions,n_posts,n_authors,n_linked,n_text_mentions
Q1,veja,113,103,72,2,111
Q1,folha,124,98,52,26,98
Q1,pleno.news,104,97,14,21,83
Q1,estadao,106,65,43,17,89
Q1,jovempan,88,63,30,3,85
Q1,glo.bo,67,53,29,1,66
Q1,g1.globo,56,53,32,16,40
Q1,uol,40,38,27,0,40
Q1,cnn,45,37,23,0,45
Q1,oglobo.globo,37,34,28,12,25
Q1,gazetadopovo,45,33,14,7,38
Q1,noticias.uol,31,31,21,31,0
Q1,cnnbrasil,30,28,22,5,25
Q1,poder360,36,26,19,4,32
Q1,terrabrasilnoticias,29,25,5,0,29
Q1,youtube,23,23,16,23,0
Q1,oantagonista,30,21,16,5,25
Q1,brasil247,21,21,11,21,0
Q1,correiobraziliense,20,19,17,6,14
Q1,cartacapital,27,18,12,9,18
Q1,revistaforum,14,14,5,14,0
Q1,ptnacamara,13,13,5,13,0
Q1,tercalivre,12,10,8,2,10
Q1,brasilsemmedo,11,9,5,2,9
Q1,r7,9,9,8,4,5
Q1,revistaoeste,9,9,3,9,0
Q1,istoe,10,8,4,0,10
Q1,google,8,8,6,8,0
Q1,bbc,11,7,6,3,8
Q1,midianinja,7,7,6,0,7
Q1,republicanos10,6,6,5,6,0
Q1,camara.leg.br,5,5,5,5,0
Q1,tse.jus.br,5,5,5,5,0
Q1,congressoemfoco,4,4,4,4,0
Q1,mblnews,4,4,1,4,0
Q1,renovamidia,4,4,3,2,2
Q1,senado.leg.br,4,4,4,4,0
Q1,yahoo,4,4,4,1,3
Q1,extra.globo,5,3,3,0,5
Q1,washingtonpost,5,3,3,1,4
Q1,blogs.globo,3,3,3,3,0
Q1,infomoney,3,3,3,1,2
Q1,metropoles,3,3,2,3,0
Q1,pt,3,3,2,3,0
Q1,band,2,2,2,0,2
Q1,bit.ly,2,2,1,2,0
Q1,cultura,2,2,2,2,0
Q1,diariodocentrodomundo,2,2,2,2,0
Q1,elpais,2,2,2,2,0
Q1,estadodedireitosempre,2,2,2,2,0
Q1,exame,2,2,1,0,2
Q1,freianastacio,2,2,1,2,0
Q1,gauchazh.clicrbs,2,2,2,2,0
Q1,otempo,2,2,2,2,0
Q1,prb10,2,2,2,2,0
Q1,renataabreuoficial,2,2,1,2,0
Q1,socialismocriativo,2,2,2,2,0
Q1,theguardian,2,2,2,0,2
Q1,agora,1,1,1,1,0
Q1,aosfatos,1,1,1,0,1
Q1,arede.info,1,1,1,1,0
Q1,aureacarolina,1,1,1,1,0
Q1,bandnewsfm,1,1,1,0,1
Q1,boletimdaliberdade,1,1,1,1,0
Q1,brasildefato,1,1,1,1,0
Q1,capitaoaugusto,1,1,1,1,0
Q1,carloszarattini,1,1,1,1,0
Q1,cbn.globo,1,1,1,1,0
Q1,cidadania23,1,1,1,1,0
Q1,cnbb,1,1,1,1,0
Q1,coalizaonegrapordireitos,1,1,1,0,1
Q1,conjur,1,1,1,1,0
Q1,correiodopovo,1,1,1,1,0
Q1,cut,1,1,1,1,0
Q1,deputadopauloramosrj,1,1,1,1,0
Q1,dextra.jor.br,1,1,1,1,0
Q1,diariodegoias,1,1,1,1,0
Q1,diretodoplanalto,1,1,1,1,0
Q1,disparada,1,1,1,1,0
Q1,doutorfrederico,1,1,1,1,0
Q1,ebc,1,1,1,1,0
Q1,fiscaisdobolsonaro,1,1,1,1,0
Q1,focus.jor.br,1,1,1,1,0
Q1,folhadoabc,1,1,1,1,0
Q1,folhadoacre,1,1,1,1,0
Q1,gazetabrasil,1,1,1,1,0
Q1,istoedinheiro,1,1,1,1,0
Q1,jaquelinecassol,1,1,1,1,0
Q1,jornalbrasilonline,1,1,1,1,0
Q1,lulalivre,1,1,1,1,0
Q1,magdamofatto,1,1,1,1,0
Q1,metrojornal,1,1,1,1,0
Q1,minutomt,1,1,1,1,0
Q1,moneytimes,1,1,1,1,0
Q1,ms1noticias,1,1,1,1,0
Q1,muitainformacao,1,1,1,1,0
Q1,nexojornal,1,1,1,1,0
Q1,novonacamara,1,1,1,1,0
Q1,nsctotal,1,1,1,1,0
Q1,olhardigital,1,1,1,1,0
Q1,osiresdamaso,1,1,1,1,0
Q1,outline,1,1,1,1,0
Q1,pauloeduardomartins,1,1,1,1,0
Q1,plural.jor.br,1,1,1,1,0
Q1,pompeo,1,1,1,1,0
Q1,portalnovonorte,1,1,1,1,0
Q1,pragmatismopolitico,1,1,1,1,0
Q1,psol50,1,1,1,1,0
Q1,reporterbrasilia,1,1,1,1,0
Q1,reuters,1,1,1,0,1
Q1,revistamarieclaire.globo,1,1,1,1,0
Q1,romanews,1,1,1,1,0
Q1,saibamais.jor.br,1,1,1,1,0
Q1,sbt,1,1,1,0,1
Q1,soundcloud,1,1,1,1,0
Q1,sul21,1,1,1,1,0
Q1,tecnologia.ig,1,1,1,1,0
Q1,terra,1,1,1,1,0
Q1,thehack,1,1,1,1,0
Q1,theintercept,1,1,1,0,1
Q1,tupi.fm,1,1,1,1,0
Q1,ultimosegundo.ig,1,1,1,1,0
Q1,valmirassuncao,1,1,1,1,0
Q1,valor.globo,1,1,1,1,0
Q1,vermelho,1,1,1,1,0
Q1,viniciusteixeiracomunicador,1,1,1,1,0
Q1,wsj,1,1,1,0,1
Q1,youtu.be,1,1,1,1,0
Q2,folha,95,72,42,16,79
Q2,pleno.news,70,68,12,20,50
Q2,estadao,93,55,36,14,79
Q2,veja,58,52,34,0,58
Q2,jovempan,53,42,21,1,52
Q2,glo.bo,45,37,22,1,44
Q2,g1.globo,37,35,25,10,27
Q2,uol,27,25,19,0,27
