category,postID,author,domain,source
Q1,2316,JandiraFeghaliOficial,nexojornal,Linked URL
Q1,11361,pimenta13br,valor.globo,Linked URL
Q2,11361,pimenta13br,valor.globo,Linked URL
Q1,31989,JandiraFeghaliOficial,bbc,Linked URL
Q2,31989,JandiraFeghaliOficial,bbc,Linked URL
Q1,35328,capitaoaugustooficial,muitainformacao,Linked URL
Q2,35328,capitaoaugustooficial,muitainformacao,Linked URL
Q1,40650,JandiraFeghaliOficial,estadodedireitosempre,Linked URL
Q1,41516,deputadohenriquefontana,estadodedireitosempre,Linked URL
Q2,41516,deputadohenriquefontana,estadodedireitosempre,Linked URL
Q1,46316,davidmirandario12,folha,Linked URL
Q2,46316,davidmirandario12,folha,Linked URL
Q1,47061,nataliabonavides,cut,Linked URL
Q2,47061,nataliabonavides,cut,Linked URL
Q1,47513,pimenta13br,brasil247,Linked URL
Q1,48396,bohngass13,brasil247,Linked URL
Q2,48396,bohngass13,brasil247,Linked URL
Q1,48409,MolonRJ,estadao,Linked URL
Q1,48941,deputadohenriquefontana,pt,Linked URL
Q2,48941,deputadohenriquefontana,pt,Linked URL
Q1,49149,nataliabonavides,saibamais.jor.br,Linked URL
Q2,49149,nataliabonavides,saibamais.jor.br,Linked URL
Q1,49820,pimenta13br,cartacapital,Linked URL
Q2,49820,pimenta13br,cartacapital,Linked URL
Q1,57356,PoliticoEliasVaz,brasil247,Linked URL
Q2,57356,PoliticoEliasVaz,brasil247,Linked URL
Q1,60136,davidmirandario12,infomoney,Linked URL
Q2,60136,davidmirandario12,infomoney,Linked URL
Q1,63549,reginaldolopesmg,blogs.globo,Linked URL
Q2,63549,reginaldolopesmg,blogs.globo,Linked URL
Q1,75613,pompeodemattospdt,noticias.uol,Linked URL
Q2,75613,pompeodemattospdt,noticias.uol,Linked URL
Q1,80986,pimenta13br,brasil247,Linked URL
Q2,80986,pimenta13br,brasil247,Linked URL
Q1,83692,pimenta13br,brasil247,Linked URL
Q1,88227,pimenta13br,brasil247,Linked URL
Q1,91147,bohngass13,blogs.globo,Linked URL
Q1,119855,capitaoalbertoneto,noticias.uol,Linked URL
Q1,119913,davidmirandario12,oglobo.globo,Linked URL
Q2,119913,davidmirandario12,oglobo.globo,Linked URL
Q1,137159,PauloEduardoOficial,oantagonista,Linked URL
Q1,140688,marciojerry,vermelho,Linked URL
Q1,153223,generalpeternelli,conjur,Linked URL
Q1,155605,patrusananias13,cartacapital,Linked URL
Q2,155605,patrusananias13,cartacapital,Linked URL
Q1,231159,gilbertoabramo,prb10,Linked URL
Q1,231218,PedroUczai,nsctotal,Linked URL
Q1,231352,deputadarosangelagomes,republicanos10,Linked URL
Q1,231373,aroldomartinsoficial,prb10,Linked URL
Q1,251803,renataabreu1919,tse.jus.br,Linked URL
Q1,267166,deputadorogeriocorreia,folha,Linked URL
Q1,309340,deputadarosangelagomes,folha,Linked URL
Q1,312048,jaquelinecassoloficial,jaquelinecassol,Linked URL
Q1,316185,pimenta13br,brasil247,Linked URL
Q1,324210,capitaoaugustooficial,terra,Linked URL
Q1,332909,carlosgomesdep,republicanos10,Linked URL
Q1,335504,kimkataguiri,mblnews,Linked URL
Q2,335504,kimkataguiri,mblnews,Linked URL
Q1,342425,IvanValentePSOL,tecnologia.ig,Linked URL
Q1,349816,luizaogoulartpr,plural.jor.br,Linked URL
Q2,349816,luizaogoulartpr,plural.jor.br,Linked URL
Q1,362344,kimkataguiri,mblnews,Linked URL
Q2,362344,kimkataguiri,mblnews,Linked URL
Q1,421123,deputadoarnaldojardim,cidadania23,Linked URL
Q1,433196,renataabreu1919,oglobo.globo,Linked URL
Q1,434569,PauloEduardoOficial,camara.leg.br,Linked URL
Q2,434569,PauloEduardoOficial,camara.leg.br,Linked URL
Q1,434575,ViniciusPoit,metrojornal,Linked URL
Q1,446619,davidmirandario12,cartacapital,Linked URL
Q2,446619,davidmirandario12,cartacapital,Linked URL
Q1,456375,kimkataguiri,mblnews,Linked URL
Q1,456591,PastorMarcoFeliciano,tercalivre,Linked URL
Q1,457048,luizaerundina,folha,Linked URL
Q1,460194,deputadoarnaldojardim,noticias.uol,Linked URL
Q1,465459,marcospereira1010,republicanos10,Linked URL
Q1,471664,marcospereira1010,republicanos10,Linked URL
Q1,476463,pompeodemattospdt,pompeo,Linked URL
Q1,477687,christino.aureo,bit.ly,Linked URL
